trade_date,instrument_id,status,is_buy,created_size,executed_size,executed_price,executed_value,executed_commission
2024-04-01,3074,Completed,True,30693.0,30693.0,10.8,331484.4,99.44532
2024-04-01,3076,Completed,True,36954.0,36954.0,8.86,327412.44,98.223732
2024-04-01,3174,Completed,True,32331.0,32331.0,9.99,322986.69,96.896007
2024-04-01,3213,Completed,True,43917.0,43917.0,7.51,329816.67,98.94500099999999
2024-04-01,3365,Completed,True,41614.0,41614.0,7.699999999999999,320427.8,96.12834
2024-04-01,4256,Completed,True,54200.0,54200.0,6.02,326284.0,97.88519999999998
2024-04-01,4456,Completed,True,62305.0,62305.0,5.32,331462.60000000003,99.43878
2024-04-01,4542,Completed,True,32237.0,32237.0,10.14,326883.18,98.064954
2024-04-01,4603,Completed,True,14312.0,14312.0,22.509999999999998,322163.12,96.64893599999999
2024-04-01,4714,Completed,True,30864.0,30864.0,10.92,337034.88,101.110464
2024-04-01,4744,Completed,True,73909.0,73909.0,4.53,334807.77,100.442331
2024-04-01,5191,Completed,True,48449.0,48449.0,6.67,323154.83,96.94644899999999
2024-04-01,5241,Completed,True,47080.0,47080.0,7.01,330030.8,99.00923999999999
2024-04-01,5346,Completed,True,56306.0,56306.0,5.97,336146.82,100.84404599999999
2024-04-01,7850,Completed,True,17825.0,17825.0,18.32,326554.0,97.96619999999999
2024-04-01,7851,Completed,True,28224.0,28224.0,11.18,315544.32,94.663296
2024-04-01,7856,Completed,True,14473.0,14473.0,23.25,336497.25,100.949175
2024-04-01,7987,Completed,True,14834.0,14834.0,20.82,308843.88,92.65316399999999
