id,run_id,portfolio_id,source_target_run_id,adjusted_target_run_id,profile_code,rule_code,instrument_id,decision_date,decision_type,reason_code,action_taken,before_target_weight,after_target_weight,before_target_quantity,after_target_quantity,before_target_amount,after_target_amount,message
676,167,1,160,166,paper_cn_a_risk3_strict_v1,R007_INDUSTRY_MAX_WEIGHT,4175,2026-04-22,REJECT,R007_MISSING_INDUSTRY,SET_TARGET_ZERO,0.0333333333,0E-10,14600.00000000,0E-8,325726.00000000,0E-8,missing industry classification
677,167,1,160,166,paper_cn_a_risk3_strict_v1,R009_MARKET_RISK_SWITCH,4175,2026-04-22,PASS,R009_MARKET_RISK_SWITCH_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
678,167,1,160,166,paper_cn_a_risk3_strict_v1,R011_LIQUIDITY_FILTER,4175,2026-04-22,PASS,R011_LIQUIDITY_FILTER_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
679,167,1,160,166,paper_cn_a_risk3_strict_v1,R007_INDUSTRY_MAX_WEIGHT,4461,2026-04-22,REJECT,R007_MISSING_INDUSTRY,SET_TARGET_ZERO,0.0333333333,0E-10,5700.00000000,0E-8,322848.00000000,0E-8,missing industry classification
680,167,1,160,166,paper_cn_a_risk3_strict_v1,R009_MARKET_RISK_SWITCH,4461,2026-04-22,PASS,R009_MARKET_RISK_SWITCH_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
681,167,1,160,166,paper_cn_a_risk3_strict_v1,R011_LIQUIDITY_FILTER,4461,2026-04-22,PASS,R011_LIQUIDITY_FILTER_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
682,167,1,160,166,paper_cn_a_risk3_strict_v1,R007_INDUSTRY_MAX_WEIGHT,1637,2026-04-22,REJECT,R007_MISSING_INDUSTRY,SET_TARGET_ZERO,0.0333333333,0E-10,17400.00000000,0E-8,327294.00000000,0E-8,missing industry classification
683,167,1,160,166,paper_cn_a_risk3_strict_v1,R009_MARKET_RISK_SWITCH,1637,2026-04-22,PASS,R009_MARKET_RISK_SWITCH_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
684,167,1,160,166,paper_cn_a_risk3_strict_v1,R011_LIQUIDITY_FILTER,1637,2026-04-22,PASS,R011_LIQUIDITY_FILTER_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
685,167,1,160,166,paper_cn_a_risk3_strict_v1,R007_INDUSTRY_MAX_WEIGHT,3062,2026-04-22,REJECT,R007_MISSING_INDUSTRY,SET_TARGET_ZERO,0.0333333333,0E-10,22400.00000000,0E-8,327040.00000000,0E-8,missing industry classification
686,167,1,160,166,paper_cn_a_risk3_strict_v1,R009_MARKET_RISK_SWITCH,3062,2026-04-22,PASS,R009_MARKET_RISK_SWITCH_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
687,167,1,160,166,paper_cn_a_risk3_strict_v1,R011_LIQUIDITY_FILTER,3062,2026-04-22,PASS,R011_LIQUIDITY_FILTER_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
688,167,1,160,166,paper_cn_a_risk3_strict_v1,R007_INDUSTRY_MAX_WEIGHT,4435,2026-04-22,REJECT,R007_MISSING_INDUSTRY,SET_TARGET_ZERO,0.0333333333,0E-10,11500.00000000,0E-8,326140.00000000,0E-8,missing industry classification
689,167,1,160,166,paper_cn_a_risk3_strict_v1,R009_MARKET_RISK_SWITCH,4435,2026-04-22,PASS,R009_MARKET_RISK_SWITCH_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
690,167,1,160,166,paper_cn_a_risk3_strict_v1,R011_LIQUIDITY_FILTER,4435,2026-04-22,PASS,R011_LIQUIDITY_FILTER_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
691,167,1,160,166,paper_cn_a_risk3_strict_v1,R007_INDUSTRY_MAX_WEIGHT,5649,2026-04-22,REJECT,R007_MISSING_INDUSTRY,SET_TARGET_ZERO,0.0333333333,0E-10,6000.00000000,0E-8,326880.00000000,0E-8,missing industry classification
692,167,1,160,166,paper_cn_a_risk3_strict_v1,R009_MARKET_RISK_SWITCH,5649,2026-04-22,PASS,R009_MARKET_RISK_SWITCH_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
693,167,1,160,166,paper_cn_a_risk3_strict_v1,R011_LIQUIDITY_FILTER,5649,2026-04-22,PASS,R011_LIQUIDITY_FILTER_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
694,167,1,160,166,paper_cn_a_risk3_strict_v1,R007_INDUSTRY_MAX_WEIGHT,4379,2026-04-22,REJECT,R007_MISSING_INDUSTRY,SET_TARGET_ZERO,0.0333333333,0E-10,9100.00000000,0E-8,326326.00000000,0E-8,missing industry classification
695,167,1,160,166,paper_cn_a_risk3_strict_v1,R009_MARKET_RISK_SWITCH,4379,2026-04-22,PASS,R009_MARKET_RISK_SWITCH_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
696,167,1,160,166,paper_cn_a_risk3_strict_v1,R011_LIQUIDITY_FILTER,4379,2026-04-22,PASS,R011_LIQUIDITY_FILTER_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
697,167,1,160,166,paper_cn_a_risk3_strict_v1,R007_INDUSTRY_MAX_WEIGHT,1508,2026-04-22,REJECT,R007_MISSING_INDUSTRY,SET_TARGET_ZERO,0.0333333333,0E-10,9900.00000000,0E-8,326898.00000000,0E-8,missing industry classification
698,167,1,160,166,paper_cn_a_risk3_strict_v1,R009_MARKET_RISK_SWITCH,1508,2026-04-22,PASS,R009_MARKET_RISK_SWITCH_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
699,167,1,160,166,paper_cn_a_risk3_strict_v1,R011_LIQUIDITY_FILTER,1508,2026-04-22,PASS,R011_LIQUIDITY_FILTER_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
700,167,1,160,166,paper_cn_a_risk3_strict_v1,R007_INDUSTRY_MAX_WEIGHT,2464,2026-04-22,REJECT,R007_MISSING_INDUSTRY,SET_TARGET_ZERO,0.0333333333,0E-10,14400.00000000,0E-8,326736.00000000,0E-8,missing industry classification
701,167,1,160,166,paper_cn_a_risk3_strict_v1,R009_MARKET_RISK_SWITCH,2464,2026-04-22,PASS,R009_MARKET_RISK_SWITCH_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
702,167,1,160,166,paper_cn_a_risk3_strict_v1,R011_LIQUIDITY_FILTER,2464,2026-04-22,PASS,R011_LIQUIDITY_FILTER_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
703,167,1,160,166,paper_cn_a_risk3_strict_v1,R007_INDUSTRY_MAX_WEIGHT,2703,2026-04-22,REJECT,R007_MISSING_INDUSTRY,SET_TARGET_ZERO,0.0333333333,0E-10,6300.00000000,0E-8,327348.00000000,0E-8,missing industry classification
704,167,1,160,166,paper_cn_a_risk3_strict_v1,R009_MARKET_RISK_SWITCH,2703,2026-04-22,PASS,R009_MARKET_RISK_SWITCH_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
705,167,1,160,166,paper_cn_a_risk3_strict_v1,R011_LIQUIDITY_FILTER,2703,2026-04-22,PASS,R011_LIQUIDITY_FILTER_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
706,167,1,160,166,paper_cn_a_risk3_strict_v1,R007_INDUSTRY_MAX_WEIGHT,2327,2026-04-22,REJECT,R007_MISSING_INDUSTRY,SET_TARGET_ZERO,0.0333333333,0E-10,31600.00000000,0E-8,326744.00000000,0E-8,missing industry classification
707,167,1,160,166,paper_cn_a_risk3_strict_v1,R009_MARKET_RISK_SWITCH,2327,2026-04-22,PASS,R009_MARKET_RISK_SWITCH_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
708,167,1,160,166,paper_cn_a_risk3_strict_v1,R011_LIQUIDITY_FILTER,2327,2026-04-22,PASS,R011_LIQUIDITY_FILTER_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
709,167,1,160,166,paper_cn_a_risk3_strict_v1,R007_INDUSTRY_MAX_WEIGHT,1988,2026-04-22,REJECT,R007_MISSING_INDUSTRY,SET_TARGET_ZERO,0.0333333333,0E-10,4900.00000000,0E-8,327418.00000000,0E-8,missing industry classification
